Наименование,Цена,Наличие,Артикул:,Объём:,Габариты (ДxВxШ):
Топливный бак Камаз 760л,57200,в наличии ,00015246,760 л.,1730x700x700мм.
Топливный бак Камаз 5490 450л,40200,в наличии ,00014584,450 л.,1050x700x700мм.
Топливный бак Камаз NEO 400л,40800,в наличии ,00006400,400 л.,1050x620x690мм.
Топливный бак Scania 300л LH,41500,в наличии ,00006032,300 л.,720x670x700мм.
Топливный бак Scania 300л RH,41500,в наличии ,00006033,300 л.,720x670x700мм.
Топливный бак Scania 450л LH,51800,в наличии ,00005995,450 л.,1500x510x700мм.
Топливный бак Volvo/Renault 690л D-образный,55900,в наличии ,00006171,690 л.,1730x710x690мм.
Топливный бак MAN 920л,60500,в наличии ,00005703,920 л.,2100x700x700мм.
Топливный бак DAF 870л LH,70800,в наличии ,00005540,870 л.,2250x620x690мм.
Топливный бак Mercedes-Benz 400л,42900,в наличии ,00005843,400 л.,1250x570x640мм.
Топливный бак Scania 600л RH с оригинальным сапуном,51800,в наличии ,00006022,600 л.,1500x670x700мм.
Топливный бак Scania 300л,44200,в наличии ,00005994,300 л.,1040x510x700мм.
Топливный бак Mercedes-Benz 500л,47600,в наличии ,00005844,500 л.,1550x570x640мм.
Топливный бак Mercedes-Benz 650л,52500,в наличии ,00005857,650 л.,1470x700x700мм.
Топливный бак Scania 450л RH,51800,в наличии ,00005996,450 л.,1500x510x700мм.
"Топливный бак Scania 600л LH с резьбой G1\2""",51800,в наличии ,00006020,600 л.,1500x670x700мм.
"Топливный бак Volvo/Renault, RVI 570л",51800,в наличии ,00006179,570 л.,1430x710x690мм.
Топливный бак MAN 300л - 2,48300,в наличии ,00005659,300 л.,1050x515x615мм.
Топливный бак MAN 400л,40800,в наличии ,00005676,400 л.,1070x620x690мм.
Топливный бак на рефрижератор 210л,36800,в наличии ,00006766,210 л.,1240x480x480мм.
Топливный бак Scania 530л,49000,в наличии ,00006015,530 л.,1250x670x700мм.
Топливный бак MAN 600 литров,51000,в наличии ,00005677,600 л.,1560x620x690мм.
Топливный бак Volvo/Renault 410л D-образный,51000,в наличии ,00006156,410 л.,1310x550x670мм.
Топливный бак Hyundai HD 78 увеличенного объема 150л,24600,в наличии ,00006487,150 л.,1050x300x520мм.
Топливный бак Volvo/Renault 490л D-образный,47600,в наличии ,00006165,490 л.,1230x710x690мм.
Топливный бак Газель 70л инжектор погружной насос,16900,в наличии ,00006571,70 л.,830x240x390мм.
Топливный бак Газель 100л,26600,в наличии ,00006565,100 л.,1170x240x390мм.
Топливный бак Газель 125л,31800,в наличии ,00006566,125 л.,1480x240x390мм.
Топливный бак Газель 136л,31800,в наличии ,00006567,136 л.,1600x240x390мм.
Топливный бак Газель 160л,38400,в наличии ,00006568,160 л.,1900x240x390мм.
Топливный бак Газель 75л,25200,в наличии ,00006577,75 л.,500x300x520мм.
Топливный бак Газель 180л,38400,в наличии ,00006569,180 л.,2100x240x390мм.
Топливный бак  Газель 120л,21900,в наличии ,00006367,120 л.,830x300x520мм.
Топливный бак DAF 180л,32700,в наличии ,00005532,180 л.,500x620x690мм.
Топливный бак DAF 300л,37000,в наличии ,00005535,300 л.,800x620x690мм.
Топливный бак DAF 220л,32700,в наличии ,00015761,220 л.,590x620x690мм.
Топливный бак DAF 275л,35000,в наличии ,00005534,275 л.,700x620x690мм.
Топливный бак DAF 310л,34800,в наличии ,00005577,310 л.,820x620x690мм.
Топливный бак DAF 330л,36100,в наличии ,00016586,330 л.,850x620x690мм.
Топливный бак DAF 380л,43100,в наличии ,00005522,380 л.,1000x620x690мм.
Топливный бак DAF 490л,48700,в наличии ,00005523,490 л.,1300x620x690мм.
Топливный бак DAF 530л,55400,в наличии ,00005524,530 л.,1400x620x690мм.
Топливный бак DAF 570л,55400,в наличии ,00005525,570 л.,1500x620x690мм.
Топливный бак DAF 610л,53000,в наличии ,00005526 19143,610 л.,1600x620x690мм.
Топливный бак DAF 650л,60400,в наличии ,00005527,650 л.,1700x620x690мм.
